week,sessions,orders
2024-12-30,2077,21
2025-01-06,2912,13
2025-01-13,3787,25
2025-01-20,3670,16
2025-01-27,3267,15
2025-02-03,3357,9
2025-02-10,4663,22
2025-02-17,4933,14
2025-02-24,4806,14
2025-03-03,4299,20
2025-03-10,3534,29
2025-03-17,2878,10
2025-03-24,3216,16
2025-03-31,3036,15
2025-04-07,3041,20
2025-04-14,2495,10
2025-04-21,2236,15
2025-04-28,2360,14
2025-05-05,3024,9
2025-05-12,2685,8
2025-05-19,3143,21
2025-05-26,2139,10
2025-06-02,3002,10
2025-06-09,3069,13
2025-06-16,4009,57
2025-06-23,2940,23
2025-06-30,2280,17
2025-07-07,2388,15
2025-07-14,2349,9
2025-07-21,2363,13
2025-07-28,2698,9
2025-08-04,3682,12
2025-08-11,4476,8
2025-08-18,2913,9
2025-08-25,2398,9
2025-09-01,2752,9
2025-09-08,3684,15
2025-09-15,2916,3
2025-09-22,2696,12
2025-09-29,2026,11
2025-10-06,3293,14
2025-10-13,4583,6
2025-10-20,4464,18
2025-10-27,5417,43
2025-11-03,5219,22
2025-11-10,4487,13
2025-11-17,5712,15
2025-11-24,3395,30
2025-12-01,6733,28
2025-12-08,9651,31
2025-12-15,6368,30
2025-12-22,7105,15
2025-12-29,10489,59
2026-01-05,4679,11
2026-01-12,8543,23
2026-01-19,6426,21
2026-01-26,3664,16
2026-02-02,4603,10
2026-02-09,4637,6
2026-02-16,3749,8
2026-02-23,11655,21
2026-03-02,2925,13
2026-03-09,7267,16
2026-03-16,6438,8
2026-03-23,9944,15
2026-03-30,13531,12
2026-04-06,3427,13
2026-04-13,5568,12
2026-04-20,5420,10
2026-04-27,5199,4
2026-05-04,4100,4
2026-05-11,8570,10
2026-05-18,9097,14
2026-05-25,6160,10
2026-06-01,8467,11
2026-06-08,7985,73
2026-06-15,7456,21
2026-06-22,5637,11
2026-06-29,5663,11
2026-07-06,8156,7
2026-07-13,7875,13
2026-07-20,4425,12
2026-07-27,7994,9
2026-08-03,8543,10
2026-08-10,9981,10
2026-08-17,8089,10
2026-08-24,6969,6
2026-08-31,614,0
